name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Rental unit in Vienna · ★4.68 · 1 bedroom · 1 bed · 1 bath,Markus,Innere Stadt,48.21564,16.37199,Entire home/apt,109,3,40,0.31,4,76,5
Rental unit in Vienna · ★4.65 · 1 bedroom · 1 bed · 1 bath,Markus,Innere Stadt,48.21496,16.37161,Entire home/apt,109,2,122,0.88,4,134,22
Rental unit in Vienna · ★4.59 · 1 bedroom · 1 bed · 1 bath,Markus,Innere Stadt,48.21351,16.37282,Entire home/apt,109,3,62,0.47,4,249,10
Rental unit in Vienna · ★4.87 · Studio · 3 beds · 1 bath,Ingela,Rudolfsheim-Fnfhaus,48.18444,16.32715,Entire home/apt,118,1,178,1.23,15,258,9
Rental unit in Vienna · ★4.91 · 3 bedrooms · 2 beds · 2 baths,Elxe,Leopoldstadt,48.21971,16.37903,Private room,45,2,32,0.23,3,16,6
Rental unit in Vienna · ★4.58 · 1 bedroom · 1 bed · Shared half-bath,Michael,Margareten,48.19372,16.35862,Private room,34,30,37,0.26,35,322,1
Rental unit in Vienna · ★4.56 · 2 bedrooms · 1 bed · 0 baths,Markus,Innere Stadt,48.21318,16.37486,Entire home/apt,149,3,86,0.69,4,91,17
Rental unit in Vienna · ★5.0 · 1 bedroom · 4 beds · 1 bath,Anneliese,Penzing,48.20841,16.2454,Entire home/apt,110,3,6,0.37,2,62,3
Condo in Vienna · ★4.77 · 1 bedroom · 1 bed · 1 bath,Mave,Favoriten,48.17437,16.39339,Entire home/apt,200,3,179,1.3,1,89,1
Rental unit in Vienna · ★4.57 · 1 bedroom · 3 beds · 1 bath,Dan,Leopoldstadt,48.21353530883789,16.377519607543945,Entire home/apt,110,1,549,3.78,21,294,44
Rental unit in Vienna · ★4.44 · Studio · 2 beds · 1 bath,Dan,Leopoldstadt,48.21269,16.37841,Entire home/apt,62,1,738,5.18,21,180,57
Rental unit in Vienna · ★4.64 · 1 bedroom · 3 beds · 1 bath,Christoph,Leopoldstadt,48.2184,16.39906,Entire home/apt,89,2,262,1.9,2,19,36
