name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Rental unit in Vienna · 1 bedroom · 1 bed · 1 shared bath,Julia,Whring,48.22122,16.34003,Private room,24,1,1,0.01,1,0,0
Rental unit in Vienna · ★4.64 · 1 bedroom · 1 bed · 1 bath,Margarita,Leopoldstadt,48.22019,16.37398,Entire home/apt,110,1,80,1.07,8,298,4
Rental unit in Vienna · ★5.0 · 3 bedrooms · 3 beds · 1 bath,Igor,Favoriten,48.175,16.37447,Entire home/apt,169,1,4,0.05,7,54,1
Rental unit in Vienna · ★4.53 · 2 bedrooms · 3 beds · 1.5 baths,Francis,Donaustadt,48.20688,16.47748,Entire home/apt,70,2,43,0.55,1,68,0
Rental unit in Vienna · ★5.0 · 2 bedrooms · 1 bed · 1.5 baths,Anastasia,Leopoldstadt,48.21533,16.38908,Entire home/apt,71,3,25,0.33,1,0,0
Rental unit in Vienna · ★4.50 · 2 bedrooms · 8 beds · 2 baths,Petra,Whring,48.2311,16.32572,Entire home/apt,140,3,6,0.08,1,0,0
Rental unit in Vienna · ★4.76 · 2 bedrooms · 2 beds · 2.5 baths,Rico,Neubau,48.20377,16.35153,Entire home/apt,59,5,29,0.38,1,0,0
Rental unit in Vienna · ★4.91 · 1 bedroom · 2 beds · 1.5 baths,Gabriele,Wieden,48.19875,16.36457,Entire home/apt,70,2,202,2.64,1,91,66
Rental unit in Vienna · ★4.33 · 1 bedroom · 2 beds · 1 bath,Belana,Rudolfsheim-Fnfhaus,48.18468,16.32798,Entire home/apt,68,1,3,0.04,1,0,0
Rental unit in Vienna · ★4.96 · Studio · 1 bed · 1 bath,Richard,Alsergrund,48.22868,16.35168,Entire home/apt,26,4,27,0.35,1,0,0
Rental unit in Vienna · ★4.93 · 1 bedroom · 2 beds · 1.5 baths,Jan,Leopoldstadt,48.22694,16.37453,Entire home/apt,90,5,97,1.3,1,44,23
Rental unit in Vienna · ★4.45 · 2 bedrooms · 3 beds · 1 bath,Harry,Landstra§e,48.20323,16.38191,Entire home/apt,101,1,449,5.84,29,231,96
Rental unit in Vienna · ★4.86 · 2 bedrooms · 1 bed · 1.5 baths,Lilly,Innere Stadt,48.2113,16.37055,Entire home/apt,95,2,65,0.84,1,0,0
Rental unit in Vienna · ★4.72 · 2 bedrooms · 2 beds · 1 bath,Lisa,Rudolfsheim-Fnfhaus,48.18733,16.33259,Entire home/apt,35,2,39,0.52,1,0,0
Rental unit in Vienna · ★4.92 · 1 bedroom · 1 bed · 1 bath,Brigitte,Whring,48.23157,16.34928,Entire home/apt,65,4,39,0.51,1,198,7
Rental unit in Vienna · ★4.62 · 1 bedroom · 1 bed · 1 bath,Alessa,Alsergrund,48.23234,16.3572,Entire home/apt,60,3,81,1.04,1,320,31
Rental unit in Vienna · 1 bedroom · 1 bed · Shared half-bath,Alex,Dbling,48.24405,16.36028,Private room,19,1,2,0.03,1,0,0
Rental unit in Vienna · ★4.73 · 1 bedroom · 1 bed · 1 bath,Dragana,Alsergrund,48.22435,16.35436,Entire home/apt,30,1,11,0.2,1,0,0
Rental unit in Vienna · ★4.48 · 1 bedroom · 1 bed · 1 bath,Juan Antonio,Rudolfsheim-Fnfhaus,48.20151,16.33126,Entire home/apt,43,2,194,2.53,2,61,53
Rental unit in Vienna · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,Janna,Josefstadt,48.20646,16.35009,Private room,50,2,4,0.05,1,0,0
Condo in Vienna · ★4.95 · 3 bedrooms · 3 beds · 2 baths,Ana,Ottakring,48.2172,16.32092,Entire home/apt,235,2,376,4.92,3,126,69
Rental unit in Vienna · ★4.81 · 2 bedrooms · 4 beds · 1 bath,Petra Veronika,Innere Stadt,48.20805,16.37847,Entire home/apt,69,2,36,0.48,1,0,0
Condo in Vienna · ★5.0 · 2 bedrooms · 2 beds · 1 bath,Christof,Neubau,48.20079,16.33841,Entire home/apt,130,3,10,0.13,1,0,0
Rental unit in Vienna · ★4.36 · 2 bedrooms · 1 bed · 1 bath,Guido,Landstra§e,48.19528,16.40937,Entire home/apt,110,1,157,2.06,5,313,14
Condo in Vienna · ★4.94 · 2 bedrooms · 2 beds · 1 bath,Ana,Ottakring,48.21848,16.31994,Entire home/apt,152,2,285,3.74,3,159,33
Rental unit in Vienna · 1 bedroom · 1 bed · 1 bath,Oliver,Brigittenau,48.23347,16.36737,Entire home/apt,60,1,0,1.6300273504273504,1,0,0
Rental unit in Vienna · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,Beatrix,Penzing,48.1988,16.26305,Private room,45,1,134,1.84,1,142,26
Condo in Vienna · 1 bedroom · 1 bed · 1.5 baths,Rebecca,Rudolfsheim-Fnfhaus,48.19435,16.31616,Entire home/apt,85,1,0,1.6300273504273504,1,0,0
Rental unit in Vienna · 1 bedroom · 1 bed · 1 shared bath,Diana,Whring,48.22297,16.33657,Private room,41,1,2,0.04,2,0,0
Rental unit in Vienna · ★4.87 · 1 bedroom · 3 beds · 1 bath,Pierre,Neubau,48.20646,16.34357,Entire home/apt,78,1,124,1.62,2,331,22
Rental unit in Vienna · ★4.98 · 4 bedrooms · 5 beds · 2 baths,Alp,Innere Stadt,48.20083,16.37017,Entire home/apt,425,4,89,1.15,7,178,17
Rental unit in Vienna · ★5.0 · Studio · 1 bed · 1 bath,Baerbl,Leopoldstadt,48.21865,16.39982,Entire home/apt,60,3,7,0.09,1,0,0
Rental unit in Vienna · 2 bedrooms · 2 beds · 1 bath,Inbar,Brigittenau,48.2298,16.37657,Entire home/apt,60,14,1,0.01,1,0,0
Rental unit in Vienna · 1 bedroom · 2 beds · 1 bath,Lennart,Neubau,48.20542,16.3506,Entire home/apt,45,1,0,1.6300273504273504,1,0,0
Condo in Vienna · 1 bedroom · 1 bed · 2 baths,Norina,Wieden,48.18814,16.37236,Private room,18,3,2,0.03,1,0,0
Rental unit in Vienna · ★4.42 · 2 bedrooms · 4 beds · 2 baths,Janina,Donaustadt,48.2483,16.42809,Entire home/apt,60,14,13,0.17,3,0,0
Rental unit in Vienna · ★4.86 · 1 bedroom · 1 bed · 1 bath,Camilo,Meidling,48.18437,16.32162,Entire home/apt,189,5,36,0.47,1,89,0
Rental unit in Vienna · ★4.77 · Studio · 2 beds · 1 bath,Romana,Margareten,48.18745,16.34611,Entire home/apt,38,7,48,0.64,1,96,3
Rental unit in Vienna · ★4.67 · 1 bedroom · 1 bed · 1 bath,Raphael,Mariahilf,48.19098,16.3408,Private room,27,2,3,0.04,1,0,0
Rental unit in Vienna · ★4.58 · 1 bedroom · 1 bed · 1 shared bath,Michael,Ottakring,48.21051,16.33758,Private room,27,2,13,0.17,2,0,0
Rental unit in Vienna · ★4.55 · 2 bedrooms · 2 beds · 1 bath,Guido,Landstra§e,48.19528,16.40937,Entire home/apt,110,1,130,1.69,5,312,28
Condo in Vienna · ★4.50 · 1 bedroom · 1 bed · 1.5 baths,Vanessa,Josefstadt,48.21446,16.35483,Private room,18,4,5,0.06,1,0,0
Rental unit in Vienna · ★4.29 · 1 bedroom · 1 bed · 1 shared bath,Deepika,Neubau,48.20442,16.34577,Private room,31,1,98,1.27,1,0,0
Rental unit in Vienna · ★4.99 · 1 bedroom · 2 beds · 1.5 baths,Bettina,Ottakring,48.21096,16.32708,Entire home/apt,132,2,142,1.86,5,192,24
Rental unit in Vienna · ★4.58 · 1 bedroom · 3 beds · 1 bath,Nina,Ottakring,48.21718,16.30577,Entire home/apt,65,30,55,0.71,6,311,5
Rental unit in Vienna · 2 bedrooms · 2 beds · 1 bath,Heidi,Neubau,48.20011,16.34951,Entire home/apt,80,3,0,1.6300273504273504,3,0,0
Rental unit in Vienna · ★4.95 · 1 bedroom · 1 bed · 1.5 shared baths,Ekin,Leopoldstadt,48.21806,16.40354,Private room,15,1,184,2.47,1,0,0
Loft in Vienna · ★4.72 · 1 bedroom · 1 bed · 1 bath,Andreas,Neubau,48.19799,16.34051,Entire home/apt,55,30,25,0.33,2,183,6
Rental unit in Vienna · 1 bedroom · 1 bed · 1.5 baths,Katharina,Brigittenau,48.23186,16.36821,Private room,20,5,0,1.6300273504273504,1,0,0
Rental unit in Vienna · ★4.81 · 1 bedroom · 2 beds · 1 bath,Mary & Kiki,Leopoldstadt,48.22553,16.38279,Entire home/apt,73,1,81,1.09,35,351,2
Rental unit in Vienna · ★4.94 · 1 bedroom · 1 bed · 1 bath,Mira,Rudolfsheim-Fnfhaus,48.18533,16.32716,Entire home/apt,118,2,16,0.21,1,115,9
Rental unit in Vienna · ★4.59 · 1 bedroom · 1 bed · 1 bath,Danny,Margareten,48.19546237751599,16.357100846020735,Entire home/apt,132,2,17,0.22,5,125,1
Rental unit in Vienna · ★4.78 · 2 bedrooms · 3 beds · 1.5 baths,Christoph,Mariahilf,48.19399,16.3466,Entire home/apt,500,6,9,0.12,2,341,0
Rental unit in Vienna · ★4.86 · 1 bedroom · 1 bed · 1 bath,Josef,Favoriten,48.17389,16.37511,Entire home/apt,83,7,66,0.9,24,293,10
Rental unit in Vienna · ★4.80 · 1 bedroom · 1 bed · 1 bath,Kristina,Alsergrund,48.22838,16.35706,Entire home/apt,40,1,21,0.27,1,0,0
Rental unit in Vienna · 1 bedroom · 1 bed · 0 baths,Fenja,Whring,48.22122,16.33772,Entire home/apt,17,14,1,0.01,2,0,0
Rental unit in Vienna · ★3.83 · 1 bedroom · 2 beds · 1 bath,Thao,Meidling,48.18309,16.34444,Entire home/apt,85,7,6,0.08,2,358,0
Rental unit in Vienna · ★4.96 · 1 bedroom · 1 bed · 1.5 shared baths,Franz,Brigittenau,48.2287,16.3718,Private room,36,1,26,0.34,2,0,1
Rental unit in Vienna · ★4.83 · 2 bedrooms · 1 bed · 1 bath,Cem,Favoriten,48.1817,16.36709,Entire home/apt,85,2,119,1.56,1,86,41
Rental unit in Vienna · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,Alva,Neubau,48.20258,16.35503,Private room,35,3,11,0.15,1,0,0
Rental unit in Vienna · ★4.64 · 1 bedroom · 1 bed · Shared half-bath,Lea,Leopoldstadt,48.21975,16.37406,Private room,22,1,22,0.29,1,0,0
Rental unit in Vienna · ★4.52 · 1 bedroom · 2 beds · 1 bath,Markus,Leopoldstadt,48.21688,16.38071,Entire home/apt,81,3,149,1.97,7,114,35
Rental unit in Vienna · ★4.71 · 1 bedroom · 1 bed · 1 bath,Fabienne,Rudolfsheim-Fnfhaus,48.19627,16.31987,Entire home/apt,40,5,17,0.22,1,0,0
Rental unit in Vienna · ★4.74 · 2 bedrooms · 2 beds · 1 bath,Markus,Leopoldstadt,48.21689,16.38244,Entire home/apt,181,3,144,2.0,7,113,37
Rental unit in Vienna · ★4.83 · 1 bedroom · 1 bed · 1 bath,Sophie,Leopoldstadt,48.22381,16.37091,Entire home/apt,62,2,31,0.47,1,138,12
Rental unit in Vienna · ★4.67 · Studio · 1 bed · 1 bath,Alice,Rudolfsheim-Fnfhaus,48.19726,16.32375,Entire home/apt,58,1,215,2.81,6,95,39
Rental unit in Vienna · ★3.88 · 1 bedroom · 1 bed · 1 bath,Kamryn,Hietzing,48.18847,16.27379,Private room,21,28,8,0.1,1,0,0
Rental unit in Vienna · ★4.74 · 1 bedroom · 1 bed · 1 bath,Chiara,Alsergrund,48.22773,16.35006,Entire home/apt,31,2,22,0.29,1,0,0
Loft in Vienna · ★4.58 · 1 bedroom · 1 bed · 1 bath,Isabella,Neubau,48.20571,16.33891,Entire home/apt,33,30,33,0.43,1,0,0
Home in Vienna · ★5.0 · Studio · 1 bed · 1 bath,Parkview Residences,Landstra§e,48.20396,16.38159,Entire home/apt,99,3,8,0.11,16,0,0
Rental unit in Vienna · ★4.79 · 3 bedrooms · 4 beds · 1 bath,Lovro,Rudolfsheim-Fnfhaus,48.19513,16.33751,Entire home/apt,80,1,14,0.19,1,0,0
Loft in Vienna · 1 bedroom · 1 bed · 1 shared bath,Philipp,Wieden,48.18887,16.36732,Private room,30,5,0,1.6300273504273504,1,0,0
Rental unit in Vienna · ★4.79 · 3 bedrooms · 3 beds · 2 baths,Renate,Wieden,48.19534,16.36819,Entire home/apt,179,10,59,0.77,7,265,8
Home in Vienna · ★4.80 · 3 bedrooms · 4 beds · 1.5 baths,Andreas,Floridsdorf,48.26563,16.41771,Entire home/apt,299,1,121,1.59,3,5,0
Rental unit in Vienna · ★4.76 · 1 bedroom · 1 bed · 1 private bath,Cansu,Wieden,48.19751,16.36527,Private room,70,1,90,1.18,1,250,0
Rental unit in Vienna · ★4.74 · Studio · 2 beds · 1 bath,Ray & Armine,Landstra§e,48.19154,16.38902,Entire home/apt,78,7,291,3.97,12,112,20
Rental unit in Vienna · ★5.0 · 1 bedroom · 1 bed · 1 bath,Karin,Wieden,48.19778,16.37371,Entire home/apt,40,1,4,0.05,1,0,0
Rental unit in Vienna · ★4.62 · 2 bedrooms · 3 beds · 1 bath,Kiki,Rudolfsheim-Fnfhaus,48.19693,16.3238,Entire home/apt,52,2,139,1.81,6,312,36
Rental unit in Vienna · ★5.0 · 1 bedroom · 1 bed · 1 bath,Constanze,Landstra§e,48.20018,16.38672,Private room,38,1,6,0.08,1,0,0
Townhouse in Vienna · ★4.88 · 1 bedroom · 2 beds · 1 bath,Eszter,Mariahilf,48.19254,16.34542,Private room,30,1,8,0.1,1,0,0
Rental unit in Vienna · ★4.66 · 3 bedrooms · 3 beds · 1 bath,Marie-Therese,Rudolfsheim-Fnfhaus,48.19731,16.32315,Entire home/apt,62,3,89,1.16,6,325,20
Rental unit in Vienna · ★4.80 · 1 bedroom · 1 bed · 1 bath,Ada,Landstra§e,48.1996,16.38587,Entire home/apt,61,3,5,0.07,1,0,0
Rental unit in Vienna · ★4.40 · 1 bedroom · 1 bed · 1.5 baths,Tamara,Margareten,48.1826,16.35306,Entire home/apt,20,1,10,0.13,1,0,0
Rental unit in Vienna · Studio · 2 beds · 1 bath,Manfred,Hernals,48.22428,16.3321,Entire home/apt,17,27,0,1.6300273504273504,1,0,0
Rental unit in Vienna · ★4.50 · Studio · 1 bed · 1 private bath,Judith,Leopoldstadt,48.22025,16.37633,Private room,28,2,5,0.07,1,0,0
Rental unit in Vienna · ★4.76 · 1 bedroom · 2 beds · 1.5 shared baths,Janina,Donaustadt,48.24645,16.42789,Private room,35,2,17,0.22,3,0,0
Rental unit in Vienna · ★4.94 · 3 bedrooms · 8 beds · 3 baths,Ingela,Rudolfsheim-Fnfhaus,48.18424,16.32815,Entire home/apt,469,2,103,1.5,15,325,26
Rental unit in Vienna · ★4.49 · 2 bedrooms · 2 beds · 1 bath,Florian,Leopoldstadt,48.21715,16.41234,Entire home/apt,44,1,80,1.05,1,0,0
Rental unit in Vienna · ★5.0 · 2 bedrooms · 2 beds · 1 bath,Stefanie,Leopoldstadt,48.22012,16.37291,Entire home/apt,80,2,13,0.17,2,56,0
Rental unit in Vienna · ★4.75 · 2 bedrooms · 1 bed · 1 bath,Tobias,Favoriten,48.17321,16.3564,Entire home/apt,50,3,13,0.17,1,59,0
Rental unit in Vienna · ★4.42 · Studio · 2 beds · 1 bath,Anna,Ottakring,48.20656,16.32969,Entire home/apt,42,1,129,1.69,1,0,13
Rental unit in Vienna · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,Michael,Ottakring,48.20957,16.33758,Private room,25,3,4,0.05,2,0,0
Rental unit in Vienna · ★4.63 · 1 bedroom · 1 bed · 1 bath,Ana-Marija,Neubau,48.2059,16.33763,Entire home/apt,42,2,17,0.22,1,0,0
Rental unit in Vienna · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,Aleksandra,Neubau,48.20433,16.34644,Private room,31,1,29,0.39,3,0,0
Rental unit in Vienna · 2 bedrooms · 2 beds · 1 bath,Greta,Rudolfsheim-Fnfhaus,48.18949,16.33318,Entire home/apt,33,7,1,0.01,1,0,0
Rental unit in Vienna · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,Sophia,Alsergrund,48.22459,16.35088,Private room,21,5,21,0.28,2,0,0
Rental unit in Vienna · ★4.36 · 1 bedroom · 2 beds · 1.5 baths,Anna Therese,Meidling,48.18228,16.34306,Entire home/apt,68,7,11,0.17,4,338,2
Rental unit in Vienna · 1 bedroom · 2 beds · 1 bath,Andrej,Favoriten,48.17211,16.38281,Entire home/apt,19,4,2,0.03,1,0,0
Rental unit in Vienna · ★4.83 · 1 bedroom · 2 beds · 1 bath,Natalia,Mariahilf,48.19377,16.34833,Entire home/apt,130,3,25,0.33,1,65,12
Condo in Vienna · ★4.61 · 2 bedrooms · 2 beds · 1.5 baths,Roland,Meidling,48.17879776403394,16.32285507844347,Entire home/apt,91,29,33,0.49,1,273,6
Rental unit in Vienna · ★5.0 · 2 bedrooms · 1 bed · 1 bath,Georg,Landstra§e,48.19223,16.4048,Entire home/apt,60,2,11,0.15,1,0,0
Rental unit in Vienna · 2 bedrooms · 1 bed · 1 shared bath,Onur,Mariahilf,48.19627,16.34353,Private room,39,1,0,1.6300273504273504,1,0,0
Rental unit in Vienna · ★4.60 · 1 bedroom · 1 bed · 1 bath,Janette,Hernals,48.21633,16.33818,Entire home/apt,35,3,5,0.07,1,0,0
Rental unit in Vienna · ★4.98 · 1 bedroom · 1 bed · 1.5 baths,Monika,Landstra§e,48.19859,16.39321,Entire home/apt,70,6,112,1.48,1,119,24
Rental unit in Vienna · ★4.76 · 2 bedrooms · 2 beds · 1.5 baths,Michael,Alsergrund,48.2257,16.3501,Entire home/apt,87,1,135,1.77,15,351,26
Rental unit in Vienna · 1 bedroom · 1 bed · 1 shared bath,Julia,Landstra§e,48.19902,16.38254,Private room,25,1,0,1.6300273504273504,1,0,0
Rental unit in Vienna · ★4.78 · 1 bedroom · 1 bed · 1.5 shared baths,Britta,Margareten,48.18181,16.35838,Private room,40,1,40,0.53,2,0,0
Rental unit in Vienna · ★4.90 · 1 bedroom · 1 bed · 1.5 shared baths,Vincent,Leopoldstadt,48.22704,16.39395,Private room,30,14,10,0.13,2,0,0
Home in Vienna · 5 bedrooms · 6 beds · 1 bath,Ayhan,Liesing,48.13723,16.35088,Entire home/apt,69,1,1,0.01,1,0,0
Rental unit in Vienna · 1 bedroom · 1 bed · 1 shared bath,Rebecca,Ottakring,48.2124,16.33007,Private room,30,6,1,0.01,1,0,0
"Rental unit in Wien, Alsergrund · ★4.79 · 2 bedrooms · 4 beds · 1.5 baths",Michael,Alsergrund,48.22574,16.35007,Entire home/apt,107,1,106,1.4,15,341,17
Rental unit in Vienna · ★5.0 · 1 bedroom · 1 bed · 1 private bath,Marie,Wieden,48.1909,16.37794,Private room,28,3,10,0.13,1,0,0
Rental unit in Vienna · ★4.90 · 2 bedrooms · 2 beds · 1 bath,Isabella,Leopoldstadt,48.21569,16.38289,Entire home/apt,100,1,42,0.55,1,0,0
Rental unit in Vienna · ★5.0 · 1 bedroom · 2 beds · 1 bath,Matthias,Rudolfsheim-Fnfhaus,48.19516,16.31994,Entire home/apt,47,1,5,0.07,1,0,0
Rental unit in Vienna · ★4.91 · 1 bedroom · 2 beds · 1 bath,Ronen,Rudolfsheim-Fnfhaus,48.18846,16.32147,Entire home/apt,65,2,307,4.04,2,158,69
Serviced apartment in Vienna · ★4.71 · 2 bedrooms · 3 beds · 1 bath,Andreas,Innere Stadt,48.20272,16.36995,Entire home/apt,198,1,7,0.52,71,297,5
Serviced apartment in Vienna · ★4.33 · 1 bedroom · 1 bed · 1 bath,Andreas,Penzing,48.20272,16.25783,Entire home/apt,84,1,3,0.07,71,313,1
Rental unit in Vienna · ★4.92 · 1 bedroom · 2 beds · 1 shared bath,Dominik,Whring,48.22591,16.34811,Private room,35,3,13,0.17,1,0,0
Rental unit in Vienna · ★4.86 · 1 bedroom · 2 beds · 1 shared bath,Paul,Ottakring,48.21845,16.32,Private room,20,1,14,0.18,1,0,0
Rental unit in Vienna · ★4.84 · 1 bedroom · 2 beds · 1.5 baths,Elli,Dbling,48.24525,16.35757,Entire home/apt,49,3,63,0.83,1,0,0
Rental unit in Vienna · ★4.78 · 2 bedrooms · 6 beds · 1 bath,Plamen,Leopoldstadt,48.21662,16.3877,Entire home/apt,122,2,187,2.66,2,116,48
Rental unit in Vienna · ★4.80 · 2 bedrooms · 6 beds · 1.5 baths,Plamen,Leopoldstadt,48.21799,16.38907,Entire home/apt,122,2,227,3.03,2,113,49
Rental unit in Vienna · 1 bedroom · 1 bed · 1 bath,Lisa,Alsergrund,48.22745,16.35466,Entire home/apt,31,2,0,1.6300273504273504,1,0,0
Rental unit in Vienna · 1 bedroom · 1 bed · 0 baths,Fenja,Whring,48.22109,16.33912,Entire home/apt,20,20,0,1.6300273504273504,2,0,0
Condo in Vienna · ★4.74 · 1 bedroom · 1 bed · 1 bath,Jan & Maida,Leopoldstadt,48.22051,16.39893,Entire home/apt,58,2,220,2.9,5,0,0
Rental unit in Vienna · ★4.96 · 1 bedroom · 2 beds · 1 bath,Claudia,Rudolfsheim-Fnfhaus,48.19875,16.32576,Entire home/apt,80,3,51,0.67,2,0,2
Rental unit in Vienna · ★4.72 · Studio · 1 bed · 1.5 baths,Veronika,Meidling,48.18278,16.33267,Entire home/apt,61,3,90,1.22,2,158,18
Rental unit in Vienna · ★4.90 · 2 bedrooms · 2 beds · 1 bath,Chris,Neubau,48.20399,16.34837,Entire home/apt,139,30,61,0.81,1,186,0
Rental unit in Vienna · ★4.65 · 2 bedrooms · 3 beds · 1 bath,Angela,Margareten,48.18409,16.36277,Entire home/apt,101,4,43,0.57,1,9,8
Rental unit in Vienna · ★4.64 · 1 bedroom · 2 beds · 1 bath,Danny,Margareten,48.19543,16.35867,Entire home/apt,120,2,170,2.33,5,123,12
Rental unit in Vienna · ★4.84 · 2 bedrooms · 2 beds · 1.5 baths,Osnat,Leopoldstadt,48.22249,16.38448,Entire home/apt,149,3,155,2.04,18,202,29
Rental unit in Vienna · ★4.89 · 1 bedroom · 1 bed · 1 bath,Jenny,Landstra§e,48.19717,16.38556,Entire home/apt,65,2,20,0.26,1,0,0
Condo in Vienna · ★4.86 · 3 bedrooms · 4 beds · 1.5 baths,Stefan,Whring,48.22374,16.34578,Entire home/apt,111,2,350,4.7,1,233,83
Rental unit in Vienna · 1 bedroom · 2 beds · 1 bath,Kostandina,Favoriten,48.17307,16.37792,Entire home/apt,36,25,0,1.6300273504273504,1,0,0
Rental unit in Vienna · 1 bedroom · 1 bed · 1 bath,Hannah,Rudolfsheim-Fnfhaus,48.19121,16.33475,Entire home/apt,16,1,1,0.02,1,0,0
Rental unit in Vienna · ★4.73 · Studio · 1 bed · 1 bath,Diana,Leopoldstadt,48.21706,16.41043,Entire home/apt,36,2,12,0.16,1,0,0
Rental unit in Vienna · ★4.82 · 1 bedroom · 1 bed · 1 bath,Mary & Kiki,Leopoldstadt,48.22559,16.38271,Entire home/apt,115,1,166,2.22,35,87,10
Rental unit in Vienna · 1 bedroom · 2 beds · 1 shared bath,Thomas,Whring,48.22675,16.34806,Private room,33,2,0,1.6300273504273504,1,0,0
Rental unit in Vienna · ★4.96 · 1 bedroom · 1 bed · 1.5 baths,Nicoletta,Josefstadt,48.20892,16.34855,Entire home/apt,65,2,126,1.73,1,0,0
Condo in Vienna · ★4.91 · 1 bedroom · 2 beds · 1 bath,Elisabeth,Donaustadt,48.22458,16.4219,Entire home/apt,75,5,140,1.88,3,331,28
Guest suite in Vienna · ★5.0 · 1 bedroom · 1 bed · 1 bath,Anna,Donaustadt,48.2412,16.40294,Entire home/apt,111,2,5,0.07,2,88,0
Rental unit in Vienna · 1 bedroom · 1 bed · 1 shared bath,Marcelo,Josefstadt,48.20775,16.3538,Private room,18,28,0,1.6300273504273504,2,0,0
Rental unit in Vienna · 1 bedroom · 1 bed · 1.5 shared baths,Nina,Alsergrund,48.22198,16.35324,Private room,20,5,1,0.01,1,0,0
Rental unit in Vienna · ★4.75 · 2 bedrooms · 1 bed · 1 shared bath,Leni,Margareten,48.18994,16.35528,Private room,29,3,15,0.2,1,0,0
Rental unit in Vienna · ★4.73 · 1 bedroom · 1 bed · 1 bath,Mary & Kiki,Leopoldstadt,48.22553,16.38279,Entire home/apt,80,28,22,0.3,35,351,1
Rental unit in Vienna · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,Fabian,Rudolfsheim-Fnfhaus,48.19793,16.318,Private room,19,3,10,0.13,1,0,0
Rental unit in Vienna · 1 bedroom · 2 beds · 1 shared bath,Sören,Penzing,48.20317,16.30612,Private room,20,1,1,0.01,1,0,0
Rental unit in Vienna · 1 bedroom · 2 beds · 1 bath,Elisabeth,Wieden,48.19737,16.36337,Entire home/apt,60,2,2,0.03,1,80,0
Rental unit in Vienna · ★4.86 · 1 bedroom · 1 bed · 1.5 baths,Tanja,Leopoldstadt,48.22069,16.37396,Entire home/apt,80,2,21,0.28,4,318,2
Rental unit in Vienna · ★4.85 · 1 bedroom · 2 beds · 1.5 shared baths,Michael,Mariahilf,48.19525,16.34947,Private room,30,3,14,0.19,2,0,0
Rental unit in Vienna · ★4.80 · 2 bedrooms · 1 bed · 1 shared bath,Andreas,Leopoldstadt,48.21293,16.38063,Private room,23,4,44,0.58,2,0,0
Rental unit in Vienna · ★4.32 · 1 bedroom · 1 bed · 1.5 baths,Philipp,Hernals,48.21828,16.3358,Entire home/apt,66,1,163,2.19,4,304,15
Rental unit in Vienna · 3 bedrooms · 4 beds · 1.5 baths,Andrea,Alsergrund,48.2198,16.35849,Entire home/apt,75,4,1,0.01,1,0,0
Rental unit in Vienna · 2 bedrooms · 2 beds · 1.5 baths,Daniel,Neubau,48.19783,16.34484,Entire home/apt,75,7,1,0.02,1,0,0
Rental unit in Vienna · ★4.78 · 1 bedroom · 1 bed · 1.5 baths,Tanya,Landstra§e,48.19399,16.38818,Entire home/apt,50,2,27,0.36,1,0,0
Rental unit in Vienna · ★4.99 · 1 bedroom · 1 bed · 1 bath,Jacqueline,Innere Stadt,48.2097,16.35585,Entire home/apt,130,5,180,2.57,1,319,30
Guesthouse in Vienna · ★4.87 · 1 bedroom · 1 bed · 1.5 baths,Linda,Floridsdorf,48.24713,16.41427,Private room,57,3,49,0.66,2,0,8
Rental unit in Vienna · Studio · 1 bed · 1 bath,Lei,Donaustadt,48.2487,16.43463,Entire home/apt,45,1,1,0.07,1,45,0
Rental unit in Vienna · ★4.44 · 1 bedroom · 1 bed · 1.5 baths,Dorothea,Innere Stadt,48.20425,16.37285,Entire home/apt,79,2,306,4.1,1,21,59
Rental unit in Vienna · ★4.69 · 2 bedrooms · 3 beds · 2.5 baths,Ilona,Landstra§e,48.19758,16.38167,Entire home/apt,155,2,144,1.97,4,290,25
Condo in Vienna · ★4.91 · 1 bedroom · 2 beds · 1 bath,Martin,Floridsdorf,48.2572,16.4138,Entire home/apt,75,4,57,0.77,1,338,6
Rental unit in Vienna · ★4.77 · 1 bedroom · 1 bed · 1.5 shared baths,David,Alsergrund,48.22884,16.35656,Private room,23,4,13,0.17,1,0,0
Rental unit in Vienna · ★4.74 · Studio · 1 bed · 1 bath,Vienna,Innere Stadt,48.20765,16.37891,Entire home/apt,129,3,126,1.68,5,140,26
Rental unit in Vienna · ★4.68 · 2 bedrooms · 3 beds · 1 bath,Mladen,Wieden,48.19036,16.37163,Entire home/apt,50,3,42,0.56,3,0,0
Home in Vienna · 1 bedroom · 1 bed · 1.5 baths,Anna,Floridsdorf,48.24357,16.40342,Entire home/apt,111,2,2,0.15,2,88,1
Rental unit in Vienna · ★4.50 · 1 bedroom · 2 beds · 1 shared bath,Gregor,Alsergrund,48.23001,16.35551,Private room,23,1,4,0.05,1,0,0
Rental unit in Vienna · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,Bea,Penzing,48.19009,16.29701,Private room,26,2,77,1.03,2,220,0
